Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,0,Ambition's Cost,Duel Decks: Nissa vs. Ob Nixilis,38,Near Mint,English,,,,,,,,0
5,0,Ambitious Aetherborn,Kaladesh,72,Near Mint,English,,,,,,,,
1,0,Ancient Excavation,Commander 2016,27,Near Mint,English,,,,,,,,0
1,0,Angelic Purge,Shadows over Innistrad,3,Near Mint,English,,,,,,,,
1,0,Anguished Unmaking,Shadows over Innistrad,242,Near Mint,English,,,,,,,,0
6,0,Apothecary Geist,Shadows over Innistrad,4,Near Mint,English,,,,,,,,
2,0,Appetite for the Unnatural,Kaladesh,141,Near Mint,English,,,,,,,,
4,0,Aradara Express,Kaladesh,195,Near Mint,English,,,,,,,,
2,0,Arborback Stomper,Kaladesh,142,Near Mint,English,,,,,,,,
1,0,Arlinn Kord,Shadows over Innistrad,243,Near Mint,English,,,,,,,,
1,0,Armorcraft Judge,Kaladesh,144,Near Mint,English,,,,,,,,
1,0,Army of the Damned,Commander 2016,105,Near Mint,English,,,,,,,,0
1,0,Ash Barrens,Commander 2016,56,Near Mint,English,,,,,,,,0
1,0,Assembled Alphas,Eldritch Moon,117,Near Mint,English,,,,,,,,
4,0,Asylum Visitor,Shadows over Innistrad,99,Near Mint,English,,,,,,,,
4,0,Attune with Aether,Kaladesh,145,Near Mint,English,,,,,,,,
2,0,Augmenting Automaton,Aether Revolt,143,Near Mint,English,,,,,,,,
2,0,Authority of the Consuls,Kaladesh,5,Near Mint,English,,,,,,,,
4,0,Avacyn's Judgment,Shadows over Innistrad,145,Near Mint,English,,,,,,,,
3,0,Aviary Mechanic,Kaladesh,6,Near Mint,English,,,,,,,,
8,0,Backwoods Survivalists,Eldritch Moon,150,Near Mint,English,,,,,,,,0
1,0,Bala Ged Scorpion,Duel Decks: Nissa vs. Ob Nixilis,39,Near Mint,English,,,,,,,,0
4,0,Ballista Charger,Kaladesh,196,Near Mint,English,,,,,,,,
4,0,Bastion Mastodon,Kaladesh,197,Near Mint,English,,,,,,,,
1,0,Biting Rain,Shadows over Innistrad,102,Near Mint,English,,,,,,,,
1,0,Bituminous Blast,Commander 2016,182,Near Mint,English,,,,,,,,0
2,0,Blistergrub,Duel Decks: Nissa vs. Ob Nixilis,40,Near Mint,English,,,,,,,,0
5,0,Blood Mist,Eldritch Moon,119,Near Mint,English,,,,,,,,
1,0,Blood Tyrant,Commander 2016,183,Near Mint,English,,,,,,,,0
1,0,Bloodbraid Elf,Commander 2016,184,Near Mint,English,,,,,,,,0
9,0,Bloodbriar,Eldritch Moon,151,Near Mint,English,,,,,,,,0
4,0,Bloodhall Priest,Eldritch Moon,181,Near Mint,English,,,,,,,,
6,0,Bloodmad Vampire,Shadows over Innistrad,146,Near Mint,English,,,,,,,,
1,0,Blossoming Defense,Kaladesh,146,Near Mint,English,,,,,,,,
10,0,Bold Impaler,Eldritch Moon,120,Near Mint,English,,,,,,,,
2,0,Bomat Bazaar Barge,Kaladesh,198,Near Mint,English,,,,,,,,
1,0,Boompile,Commander 2016,52,Near Mint,English,,,,,,,,0
5,0,Boon of Emrakul,Eldritch Moon,81,Near Mint,English,,,,,,,,0
6,0,Borrowed Grace,Eldritch Moon,14,Near Mint,English,,,,,,,,
8,0,Borrowed Hostility,Eldritch Moon,121,Near Mint,English,,,,,,,,
8,0,Borrowed Malevolence,Eldritch Moon,82,Near Mint,English,,,,,,,,0
1,0,Brain in a Jar,Shadows over Innistrad,252,Near Mint,English,,,,,,,,
2,0,Brazen Scourge,Kaladesh,107,Near Mint,English,,,,,,,,
3,0,Brazen Wolves,Eldritch Moon,122,Near Mint,English,,,,,,,,
1,0,Briarbridge Patrol,Shadows over Innistrad,195,Near Mint,English,,,,,,,,
2,0,Briarhorn,Duel Decks: Nissa vs. Ob Nixilis,3,Near Mint,English,,,,,,,,0
1,0,Bristling Hydra,Kaladesh,147,Near Mint,English,,,,,,,,
2,0,Broken Concentration,Shadows over Innistrad,50,Near Mint,English,,,,,,,,0
1,0,"Bruna, the Fading Light",Eldritch Moon,15,Near Mint,English,,,,,,,,
3,0,Built to Last,Kaladesh,7,Near Mint,English,,,,,,,,
2,0,Built to Smash,Kaladesh,108,Near Mint,English,,,,,,,,
1,0,Burgeoning,Commander 2016,143,Near Mint,English,,,,,,,,0
1,0,Burn from Within,Shadows over Innistrad,148,Near Mint,English,,,,,,,,
2,0,Byway Courier,Shadows over Innistrad,196,Near Mint,English,,,,,,,,
1,0,Cadaver Imp,Duel Decks: Nissa vs. Ob Nixilis,41,Near Mint,English,,,,,,,,0
2,0,Call the Bloodline,Friday Night Magic,199,Near Mint,English,foil,,,,,,,0
3,0,Campaign of Vengeance,Eldritch Moon,182,Near Mint,English,,,,,,,,0
2,0,Carrier Thrall,Duel Decks: Nissa vs. Ob Nixilis,42,Near Mint,English,,,,,,,,0
1,0,Cathar's Companion,Shadows over Innistrad,9,Near Mint,English,,,,,,,,
8,0,Cathar's Shield,Eldritch Moon,192,Near Mint,English,,,,,,,,
4,0,Cathartic Reunion,Kaladesh,109,Near Mint,English,,,,,,,,
7,0,Cemetery Recruitment,Eldritch Moon,83,Near Mint,English,,,,,,,,0
1,0,Ceremonious Rejection,Kaladesh,40,Near Mint,English,,,,,,,,
5,0,Certain Death,Eldritch Moon,84,Near Mint,English,,,,,,,,
1,0,Chain of Vapor,Commander 2016,84,Near Mint,English,,,,,,,,0
6,0,Chandra's Pyrohelix,Kaladesh,111,Near Mint,English,,,,,,,,
1,0,Chandra's Revolution,Aether Revolt,77,Near Mint,English,,,,,,,,
1,0,Chaos Warp,Commander 2016,122,Near Mint,English,,,,,,,,0
1,0,Chief of the Foundry,Kaladesh,200,Near Mint,English,,,,,,,,
2,0,Chilling Grasp,Eldritch Moon,50,Near Mint,English,,,,,,,,
1,0,Choked Estuary,Shadows over Innistrad,270,Near Mint,English,,,,,,,,0
4,0,Choking Restraints,Eldritch Moon,16,Near Mint,English,,,,,,,,0
1,0,Chromatic Lantern,Commander 2016,247,Near Mint,English,,,,,,,,0
1,0,Cinder Barrens,Oath of the Gatewatch,168,Near Mint,English,,,,,,,,
2,0,Citanul Woodreaders,Duel Decks: Nissa vs. Ob Nixilis,4,Near Mint,English,,,,,,,,0
2,0,Civic Wayfinder,Duel Decks: Nissa vs. Ob Nixilis,5,Near Mint,English,,,,,,,,0
4,0,Clear Shot,Eldritch Moon,152,Near Mint,English,,,,,,,,0
2,0,Clip Wings,Shadows over Innistrad,197,Near Mint,English,,,,,,,,0
1,0,Cloudblazer,Kaladesh,176,Near Mint,English,,,,,,,,
1,0,Cloudthresher,Duel Decks: Nissa vs. Ob Nixilis,6,Near Mint,English,,,,,,,,0
2,0,Clue,Extras: Shadows over Innistrad,11,Near Mint,English,,,,,,,,
1,0,Clue,Extras: Shadows over Innistrad,12,Near Mint,English,,,,,,,,0
1,0,Clue,Extras: Shadows over Innistrad,13,Near Mint,English,,,,,,,,0
2,0,Clue,Extras: Shadows over Innistrad,14,Near Mint,English,,,,,,,,0
1,0,Clue,Extras: Shadows over Innistrad,15,Near Mint,English,,,,,,,,0
3,0,Clue,Extras: Shadows over Innistrad,16,Near Mint,English,,,,,,,,0
1,0,Coax from the Blind Eternities,Eldritch Moon,51,Near Mint,English,,,,,,,,
2,0,Cogwork Assembler,Aether Revolt,145,Near Mint,English,,,,,,,,
3,0,Cogworker's Puzzleknot,Kaladesh,201,Near Mint,English,,,,,,,,
1,0,Coiling Oracle,Commander 2016,188,Near Mint,English,,,,,,,,0
4,0,Collective Brutality,Eldritch Moon,85,Near Mint,English,,,,,,,,
1,0,Command Tower,Commander 2016,286,Near Mint,English,,,,,,,,0
1,0,Commander's Sphere,Commander 2016,248,Near Mint,English,,,,,,,,0
6,0,Commencement of Festivities,Kaladesh,148,Near Mint,English,,,,,,,,
2,0,Concealed Courtyard,Kaladesh,245,Near Mint,English,,,,,,,,
1,0,Conduit of Storms,Eldritch Moon,124,Near Mint,English,,,,,,,,
2,0,Confront the Unknown,Shadows over Innistrad,198,Near Mint,English,,,,,,,,
3,0,Consul's Shieldguard,Kaladesh,11,Near Mint,English,,,,,,,,
1,0,Consulate Crackdown,Aether Revolt,11,Near Mint,English,,,,,,,,
6,0,Consulate Skygate,Kaladesh,202,Near Mint,English,,,,,,,,
3,0,Consulate Surveillance,Kaladesh,10,Near Mint,English,,,,,,,,
1,0,Consuming Aberration,Commander 2016,189,Near Mint,English,,,,,,,,0
3,0,Contingency Plan,Eldritch Moon,52,Near Mint,English,,,,,,,,0
1,0,Contraband Kingpin,Kaladesh,177,Near Mint,English,,,,,,,,
1,0,Conviction,Aether Revolt,12,Near Mint,English,,,,,,,,
4,0,Convolute,Eldritch Moon,53,Near Mint,English,,,,,,,,0
1,0,Courageous Outrider,Eldritch Moon,18,Near Mint,English,foil,,,,,,,0
3,0,Courageous Outrider,Eldritch Moon,18,Near Mint,English,,,,,,,,
5,0,Cowl Prowler,Kaladesh,149,Near Mint,English,,,,,,,,
2,0,Crawling Sensation,Shadows over Innistrad,199,Near Mint,English,,,,,,,,0
1,0,Creeping Dread,Shadows over Innistrad,104,Near Mint,English,,,,,,,,
2,0,Creeping Mold,Kaladesh,150,Near Mint,English,,,,,,,,
1,0,Crop Rotation,Duel Decks: Nissa vs. Ob Nixilis,7,Near Mint,English,,,,,,,,0
2,0,Crop Sigil,Eldritch Moon,153,Near Mint,English,,,,,,,,
9,0,Crossroads Consecrator,Eldritch Moon,154,Near Mint,English,,,,,,,,
1,0,Crow of Dark Tidings,Shadows over Innistrad,105,Near Mint,English,,,,,,,,0
1,0,Cruel Entertainment,Commander 2016,11,Near Mint,English,,,,,,,,0
1,0,Cruel Finality,Aether Revolt,54,Near Mint,English,,,,,,,,
1,0,Crumbling Necropolis,Commander 2016,287,Near Mint,English,,,,,,,,0
1,0,Crumbling Vestige,Friday Night Magic,195,Near Mint,English,,,,,,,,0
4,0,Cryptbreaker,Eldritch Moon,86,Near Mint,English,,,,,,,,
2,0,Cryptolith Fragment,Eldritch Moon,193,Near Mint,English,,,,,,,,
1,0,Cult of the Waxing Moon,Shadows over Innistrad,201,Near Mint,English,,,,,,,,0
8,0,Cultist's Staff,Eldritch Moon,194,Near Mint,English,,,,,,,,
5,0,Curio Vendor,Kaladesh,42,Near Mint,English,,,,,,,,
2,0,Curious Homunculus,Eldritch Moon,54,Near Mint,English,,,,,,,,0
1,0,Curtains' Call,Commander 2016,13,Near Mint,English,,,,,,,,0
1,0,Dance with Devils,Shadows over Innistrad,150,Near Mint,English,,,,,,,,
1,0,Daring Sleuth,Shadows over Innistrad,54,Near Mint,English,,,,,,,,
2,0,Dark Salvation,Eldritch Moon,87,Near Mint,English,,,,,,,,
2,0,Dauntless Cathar,Shadows over Innistrad,11,Near Mint,English,,,,,,,,0
6,0,Dawn Gryff,Eldritch Moon,19,Near Mint,English,,,,,,,,
3,0,Dead Weight,Shadows over Innistrad,106,Near Mint,English,,,,,,,,0
1,0,Deadlock Trap,Kaladesh,204,Near Mint,English,,,,,,,,
4,0,Deathcap Cultivator,Shadows over Innistrad,202,Near Mint,English,,,,,,,,
1,0,Decimate,Commander 2016,193,Near Mint,English,,,,,,,,0
3,0,Decimator of the Provinces,Eldritch Moon,2,Near Mint,English,,,,,,,,
1,0,Decoction Module,Kaladesh,205,Near Mint,English,,,,,,,,
4,0,Demolish,Kaladesh,113,Near Mint,English,,,,,,,,
1,0,Demolition Stomper,Kaladesh,206,Near Mint,English,,,,,,,,
1,0,Demon of Dark Schemes,Kaladesh,73,Near Mint,English,,,,,,,,
1,0,Demon's Grasp,Duel Decks: Nissa vs. Ob Nixilis,43,Near Mint,English,,,,,,,,0
4,0,Deny Existence,Shadows over Innistrad,55,Near Mint,English,,,,,,,,
3,0,Deranged Whelp,Eldritch Moon,125,Near Mint,English,,,,,,,,
1,0,Desecration Demon,Duel Decks: Nissa vs. Ob Nixilis,44,Near Mint,English,,,,,,,,0
3,0,Desperate Sentry,Eldritch Moon,21,Near Mint,English,,,,,,,,0
1,0,Despoiler of Souls,Duel Decks: Nissa vs. Ob Nixilis,45,Near Mint,English,,,,,,,,0
1,0,Devastation Tide,Commander 2016,87,Near Mint,English,,,,,,,,0
2,0,Devil,Extras: Shadows over Innistrad,6,Near Mint,English,,,,,,,,
3,0,Dhund Operative,Kaladesh,74,Near Mint,English,,,,,,,,
1,0,Diabolic Tutor,Kaladesh,75,Near Mint,English,,,,,,,,
6,0,Die Young,Kaladesh,76,Near Mint,English,,,,,,,,
3,0,Diregraf Colossus,Shadows over Innistrad,107,Near Mint,English,,,,,,,,
2,0,Disappearing Act,Kaladesh,43,Near Mint,English,,,,,,,,
1,0,Disfigure,Duel Decks: Nissa vs. Ob Nixilis,46,Near Mint,English,,,,,,,,0
1,0,Dismal Backwater,Commander 2016,291,Near Mint,English,,,,,,,,0
7,0,Displace,Eldritch Moon,55,Near Mint,English,,,,,,,,
6,0,Distemper of the Blood,Eldritch Moon,126,Near Mint,English,,,,,,,,
1,0,Distended Mindbender,Eldritch Moon,3,Near Mint,English,,,,,,,,0
1,0,Docent of Perfection,Eldritch Moon,56,Near Mint,English,,,,,,,,
2,0,Doom Blade,Duel Decks: Nissa vs. Ob Nixilis,47,Near Mint,English,,,,,,,,0
4,0,Drag Under,Eldritch Moon,57,Near Mint,English,,,,,,,,0
1,0,Dragon Mage,Commander 2016,124,Near Mint,English,,,,,,,,0
5,0,Dramatic Reversal,Kaladesh,44,Near Mint,English,,,,,,,,
3,0,"Drana, Liberator of Malakir",Battle for Zendikar,109,Near Mint,English,,,,,,,,
1,0,Drogskol Cavalry,Shadows over Innistrad,15,Near Mint,English,,,,,,,,
2,0,Drogskol Shieldmate,Eldritch Moon,22,Near Mint,English,,,,,,,,
1,0,Drownyard Behemoth,Eldritch Moon,4,Near Mint,English,,,,,,,,
1,0,Drownyard Temple,Shadows over Innistrad,271,Near Mint,English,,,,,,,,
2,0,Druid of the Cowl,Aether Revolt,106,Near Mint,English,,,,,,,,
1,0,Dubious Challenge,Kaladesh,152,Near Mint,English,,,,,,,,
2,0,Dukhara Peafowl,Kaladesh,207,Near Mint,English,,,,,,,,
6,0,Dukhara Scavenger,Kaladesh,77,Near Mint,English,,,,,,,,
1,0,Durable Handicraft,Kaladesh,153,Near Mint,English,,,,,,,,
4,0,Dusk Feaster,Eldritch Moon,88,Near Mint,English,,,,,,,,
4,0,Duskwatch Recruiter,Shadows over Innistrad,203,Near Mint,English,,,,,,,,
1,0,Dynavolt Tower,Kaladesh,208,Near Mint,English,,,,,,,,
2,0,Eager Construct,Kaladesh,209,Near Mint,English,,,,,,,,
2,0,Eddytrail Hawk,Kaladesh,12,Near Mint,English,,,,,,,,
6,0,Elder Deep-Fiend,Eldritch Moon,5,Near Mint,English,,,,,,,,
11,0,Eldrazi Horror,Extras: Eldritch Moon,1,Near Mint,English,,,,,,,,
4,0,Eldrazi Mimic,Oath of the Gatewatch,2,Near Mint,English,,,,,,,,
4,0,Eldrazi Skyspawner,Battle for Zendikar,58,Near Mint,English,,,,,,,,
1,0,Eldritch Evolution,Eldritch Moon,155,Near Mint,English,,,,,,,,
2,0,Elegant Edgecrafters,Kaladesh,154,Near Mint,English,,,,,,,,
1,0,Eliminate the Competition,Kaladesh,78,Near Mint,English,,,,,,,,
2,0,Elvish Visionary,Duel Decks: Nissa vs. Ob Nixilis,8,Near Mint,English,,,,,,,,0
2,0,Ember-Eye Wolf,Shadows over Innistrad,154,Near Mint,English,,,,,,,,0
1,0,Emblem: Liliana,Extras: Magic Origins,13,Near Mint,English,,,,,,,,
2,0,"Emblem: Tamiyo, Field Researcher",Extras: Eldritch Moon,10,Near Mint,English,,,,,,,,
2,0,Embraal Bruiser,Kaladesh,79,Near Mint,English,,,,,,,,
1,0,Embraal Gear-Smasher,Aether Revolt,79,Near Mint,English,,,,,,,,
3,0,Emissary of the Sleepless,Shadows over Innistrad,17,Near Mint,English,,,,,,,,
5,0,Empyreal Voyager,Kaladesh,180,Near Mint,English,,,,,,,,
2,0,Emrakul's Evangel,Eldritch Moon,156,Near Mint,English,,,,,,,,
1,0,Emrakul's Influence,Eldritch Moon,157,Near Mint,English,,,,,,,,
2,0,Engineered Might,Kaladesh,181,Near Mint,English,,,,,,,,
1,0,Engulf the Shore,Shadows over Innistrad,58,Near Mint,English,,,,,,,,
6,0,Enlightened Maniac,Eldritch Moon,58,Near Mint,English,,,,,,,,
1,0,Enraged Giant,Aether Revolt,80,Near Mint,English,,,,,,,,
2,0,Epitaph Golem,Shadows over Innistrad,254,Near Mint,English,,,,,,,,
1,0,Equestrian Skill,Shadows over Innistrad,204,Near Mint,English,,,,,,,,
2,0,Era of Innovation,Kaladesh,45,Near Mint,English,,,,,,,,
1,0,Erdwal Illuminator,Shadows over Innistrad,60,Near Mint,English,,,,,,,,
1,0,Essence Extraction,Kaladesh,80,Near Mint,English,,,,,,,,
3,0,Essence Flux,Shadows over Innistrad,61,Near Mint,English,,,,,,,,
4,0,Eternal Scourge,Eldritch Moon,7,Near Mint,English,,,,,,,,
1,0,Etherium-Horn Sorcerer,Commander 2016,197,Near Mint,English,,,,,,,,0
1,0,Evacuation,Commander 2016,91,Near Mint,English,,,,,,,,0
1,0,Ever After,Shadows over Innistrad,109,Near Mint,English,,,,,,,,
1,0,Evolving Wilds,Commander 2016,294,Near Mint,English,,,,,,,,0
1,0,Evolving Wilds,Dragons of Tarkir,248,Near Mint,English,,,,,,,,0
1,0,Exotic Orchard,Commander 2016,295,Near Mint,English,,,,,,,,0
2,0,Experimental Aviator,Kaladesh,46,Near Mint,English,,,,,,,,
5,0,Explosive Apparatus,Shadows over Innistrad,255,Near Mint,English,,,,,,,,0
1,0,Explosive Apparatus,Shadows over Innistrad,255,Near Mint,English,foil,,,,,,,0
3,0,Extricator of Sin,Eldritch Moon,23,Near Mint,English,,,,,,,,0
6,0,Exultant Cultist,Eldritch Moon,59,Near Mint,English,,,,,,,,0
1,0,Fabrication Module,Kaladesh,211,Near Mint,English,,,,,,,,
3,0,Failed Inspection,Kaladesh,47,Near Mint,English,,,,,,,,
1,0,Fairgrounds Trumpeter,Kaladesh,155,Near Mint,English,,,,,,,,
2,0,Fairgrounds Warden,Kaladesh,13,Near Mint,English,,,,,,,,
2,0,Faith Unbroken,Eldritch Moon,24,Near Mint,English,,,,,,,,
8,0,Faithbearer Paladin,Eldritch Moon,25,Near Mint,English,,,,,,,,
4,0,Falkenrath Gorger,Shadows over Innistrad,155,Near Mint,English,,,,,,,,
13,0,Falkenrath Reaver,Eldritch Moon,127,Near Mint,English,,,,,,,,
1,0,Far Wanderings,Commander 2016,148,Near Mint,English,,,,,,,,0
1,0,Farbog Revenant,Shadows over Innistrad,110,Near Mint,English,,,,,,,,0
1,0,Fateful Showdown,Kaladesh,114,Near Mint,English,,,,,,,,
1,0,Fellwar Stone,Commander 2016,254,Near Mint,English,,,,,,,,0
1,0,Fen Hauler,Aether Revolt,58,Near Mint,English,,,,,,,,
2,0,Fertile Thicket,Duel Decks: Nissa vs. Ob Nixilis,27,Near Mint,English,,,,,,,,0
1,0,Fertilid,Duel Decks: Nissa vs. Ob Nixilis,9,Near Mint,English,,,,,,,,0
2,0,Fetid Imp,Duel Decks: Nissa vs. Ob Nixilis,48,Near Mint,English,,,,,,,,0
8,0,Field Creeper,Eldritch Moon,195,Near Mint,English,,,,,,,,
7,0,Fiend Binder,Eldritch Moon,26,Near Mint,English,,,,,,,,0
5,0,Fiery Temper,Shadows over Innistrad,156,Near Mint,English,,,,,,,,
1,0,Filigree Crawler,Aether Revolt,150,Near Mint,English,,,,,,,,
7,0,Fireforger's Puzzleknot,Kaladesh,213,Near Mint,English,,,,,,,,
1,0,Fleeting Memories,Shadows over Innistrad,62,Near Mint,English,,,,,,,,0
7,0,Fogwalker,Eldritch Moon,60,Near Mint,English,,,,,,,,
4,0,Foreboding Ruins,Shadows over Innistrad,272,Near Mint,English,,,,,,,,
15,0,Forest,Shadows over Innistrad,295,Near Mint,English,,,,,,,,0
13,0,Forest,Shadows over Innistrad,296,Near Mint,English,,,,,,,,0
11,0,Forest,Shadows over Innistrad,297,Near Mint,English,,,,,,,,
5,0,Forest,Kaladesh,262,Near Mint,English,,,,,,,,0
1,0,Forest,Kaladesh,263,Near Mint,English,foil,,,,,,,0
3,0,Forest,Kaladesh,263,Near Mint,English,,,,,,,,0
26,0,Forest,Kaladesh,264,Near Mint,English,,,,,,,,
3,0,Fork in the Road,Shadows over Innistrad,205,Near Mint,English,,,,,,,,0
1,0,Forsaken Sanctuary,Shadows over Innistrad,273,Near Mint,English,,,,,,,,
3,0,Fortuitous Find,Kaladesh,81,Near Mint,English,,,,,,,,
1,0,Fortune's Favor,Eldritch Moon,61,Near Mint,English,,,,,,,,
7,0,Foul Emissary,Eldritch Moon,158,Near Mint,English,,,,,,,,0
1,0,Foul Imp,Duel Decks: Nissa vs. Ob Nixilis,49,Near Mint,English,,,,,,,,0
1,0,Foul Orchard,Shadows over Innistrad,275,Near Mint,English,,,,,,,,0
1,0,Foundry Assembler,Aether Revolt,151,Near Mint,English,,,,,,,,
4,0,Foundry Screecher,Kaladesh,82,Near Mint,English,,,,,,,,
2,0,Fourth Bridge Prowler,Aether Revolt,60,Near Mint,English,,,,,,,,
4,0,Fragmentize,Kaladesh,14,Near Mint,English,,,,,,,,
1,0,Frenzied Fugue,Commander 2016,18,Near Mint,English,,,,,,,,0
1,0,Fretwork Colony,Kaladesh,83,Near Mint,English,,,,,,,,
1,0,Frontier Bivouac,Commander 2016,297,Near Mint,English,,,,,,,,0
1,0,Frontline Rebel,Aether Revolt,82,Near Mint,English,,,,,,,,
1,0,Fumigate,Kaladesh,15,Near Mint,English,,,,,,,,
1,0,Furious Reprisal,Kaladesh,115,Near Mint,English,,,,,,,,
2,0,Furtive Homunculus,Shadows over Innistrad,64,Near Mint,English,,,,,,,,
5,0,Furyblade Vampire,Eldritch Moon,128,Near Mint,English,,,,,,,,
1,0,Gaea's Blessing,Duel Decks: Nissa vs. Ob Nixilis,10,Near Mint,English,,,,,,,,0
1,0,Gamekeeper,Commander 2016,151,Near Mint,English,,,,,,,,0
1,0,Gatstaf Arsonists,Shadows over Innistrad,158,Near Mint,English,,,,,,,,
3,0,Gavony Unhallowed,Eldritch Moon,89,Near Mint,English,,,,,,,,0
5,0,Gearseeker Serpent,Kaladesh,48,Near Mint,English,,,,,,,,
3,0,Gearshift Ace,Kaladesh,16,Near Mint,English,,,,,,,,
2,0,Geier Reach Sanitarium,Eldritch Moon,203,Near Mint,English,,,,,,,,
2,0,Geist of the Archives,Eldritch Moon,62,Near Mint,English,,,,,,,,
1,0,Geist of the Lonely Vigil,Eldritch Moon,27,Near Mint,English,,,,,,,,
2,0,Geist-Fueled Scarecrow,Eldritch Moon,196,Near Mint,English,,,,,,,,0
2,0,Geralf's Masterpiece,Shadows over Innistrad,65,Near Mint,English,,,,,,,,0
1,0,Ghastly Conscription,Commander 2016,111,Near Mint,English,,,,,,,,0
2,0,Ghirapur Guide,Kaladesh,156,Near Mint,English,,,,,,,,
1,0,Ghirapur Orrery,Kaladesh,216,Near Mint,English,,,,,,,,
1,0,Ghostly Wings,Shadows over Innistrad,66,Near Mint,English,,,,,,,,
1,0,Ghoulsteed,Shadows over Innistrad,113,Near Mint,English,,,,,,,,0
1,0,Giant Scorpion,Duel Decks: Nissa vs. Ob Nixilis,50,Near Mint,English,,,,,,,,0
3,0,Giant Spectacle,Kaladesh,116,Near Mint,English,,,,,,,,
1,0,Gibbering Fiend,Shadows over Innistrad,161,Near Mint,English,,,,,,,,0
2,0,Gilt-Leaf Seer,Duel Decks: Nissa vs. Ob Nixilis,11,Near Mint,English,,,,,,,,0
1,0,"Gisela, the Broken Blade",Eldritch Moon,28,Mint,English,,,,,,,,0
2,0,Give No Ground,Eldritch Moon,29,Near Mint,English,,,,,,,,0
5,0,Glassblower's Puzzleknot,Kaladesh,217,Near Mint,English,,,,,,,,
1,0,Glimmer of Genius,Kaladesh,49,Near Mint,English,,,,,,,,
1,0,Glint-Eye Nephilim,Commander 2016,201,Near Mint,English,,,,,,,,0
1,0,Glint-Nest Crane,Kaladesh,50,Near Mint,English,,,,,,,,
2,0,Glint-Sleeve Artisan,Kaladesh,17,Near Mint,English,,,,,,,,
1,0,Gloomwidow,Shadows over Innistrad,206,Near Mint,English,,,,,,,,
4,0,Gnarlwood Dryad,Eldritch Moon,159,Near Mint,English,,,,,,,,
1,0,Goblin Spymaster,Commander 2016,19,Near Mint,English,,,,,,,,0
1,0,Goldnight Castigator,Shadows over Innistrad,162,Near Mint,English,,,,,,,,
4,0,Gone Missing,Shadows over Innistrad,67,Near Mint,English,,,,,,,,
1,0,"Gonti, Lord of Luxury",Prerelease Events: Kaladesh,84,Near Mint,English,foil,,,,,,,0
1,0,Graf Harvest,Eldritch Moon,90,Mint,English,foil,,,,,,,0
2,0,Graf Harvest,Eldritch Moon,90,Near Mint,English,,,,,,,,
10,0,Graf Rats,Eldritch Moon,91,Near Mint,English,,,,,,,,0
11,0,Grapple with the Past,Eldritch Moon,160,Near Mint,English,,,,,,,,
4,0,Grasp of Darkness,Oath of the Gatewatch,85,Near Mint,English,,,,,,,,
1,0,Grave Upheaval,Commander 2016,31,Near Mint,English,,,,,,,,0
2,0,Grim Discovery,Duel Decks: Nissa vs. Ob Nixilis,51,Near Mint,English,,,,,,,,0
2,0,Grim Flayer,Eldritch Moon,184,Near Mint,English,,,,,,,,
3,0,Grizzled Angler,Eldritch Moon,63,Near Mint,English,,,,,,,,
